potID,treatment,moistureL,whc,replicate,med,wdpt
1,sdbs,8,55,a,0,1
2,sdbs,12,35,c,0,2
3,sdbs,3,80,b,0,2
4,mp,9,50,c,0,2
5,mp,7,60,a,0,2
6,nacl,11,40,b,0,3
7,nacl,3,80,b,0,0
8,cu,3,80,a,0,0
9,ctrl,15,20,b,4,4
10,cu,13,30,b,0,3
11,sdbs,14,25,c,4,4
12,all,2,85,a,0,1
13,sdbs,5,70,a,0,2
14,nacl,9,50,c,0,1
15,mp,1,90,c,0,1
16,all,14,25,a,4,5
17,cu,10,45,a,0,3
18,sdbs,1,90,c,0,4
19,cu,9,50,c,0,2
20,ctrl,4,75,b,0,0
21,n,14,25,c,0,3
22,nacl,14,25,b,4,4
23,n,7,60,a,0,1
24,n,4,75,b,0,1
25,cu,2,85,a,0,0
26,n,9,50,b,0,0
27,ctrl,3,80,b,0,0
28,cu,7,60,c,0,0
29,sdbs,2,85,c,0,1
30,n,1,90,a,0,2
31,sdbs,4,75,a,0,0
32,cu,14,25,c,4,4
33,nacl,13,30,a,0,3
34,nacl,13,30,b,4,5
35,sdbs,6,65,a,0,0
36,mp,11,40,b,0,4
37,n,14,25,b,0,4
38,nacl,6,65,b,0,0
39,all,6,65,a,0,2
40,sdbs,1,90,a,0,2
41,ctrl,8,55,c,0,0
42,nacl,4,75,b,0,2
43,cu,13,30,a,4,5
44,all,13,30,a,4,4
45,sdbs,8,55,b,0,0
46,n,5,70,a,0,0
47,sdbs,9,50,b,0,2
48,nacl,11,40,c,0,3
49,nacl,4,75,a,0,0
50,nacl,11,40,a,0,1
51,cu,4,75,b,0,0
52,mp,8,55,a,0,0
53,sdbs,3,80,c,0,3
54,n,13,30,a,0,5
55,nacl,6,65,a,0,1
56,mp,6,65,b,0,1
57,sdbs,11,40,b,0,1
58,all,14,25,b,4,5
59,cu,4,75,c,0,0
60,n,1,90,c,0,0
61,n,8,55,b,0,1
62,sdbs,13,30,b,0,2
63,all,7,60,a,0,2
64,ctrl,14,25,c,0,3
65,all,5,70,a,0,1
66,all,9,50,b,4,5
67,ctrl,5,70,c,0,0
68,n,9,50,a,0,2
69,cu,6,65,a,0,1
70,nacl,1,90,c,0,0
71,sdbs,9,50,a,0,1
72,mp,9,50,b,0,4
73,nacl,9,50,a,0,0
74,sdbs,15,20,a,0,3
75,mp,14,25,b,8,5
76,nacl,5,70,a,0,0
77,ctrl,2,85,b,0,1
78,mp,6,65,a,0,3
79,nacl,10,45,a,0,2
80,cu,5,70,c,0,0
81,cu,12,35,a,0,2
82,sdbs,7,60,b,0,0
83,nacl,7,60,c,0,1
84,ctrl,15,20,a,4,5
85,sdbs,13,30,a,4,6
86,nacl,1,90,a,0,0
87,nacl,5,70,c,0,1
88,ctrl,14,25,b,0,2
89,all,5,70,c,0,0
90,cu,7,60,b,0,0
91,sdbs,2,85,a,0,0
92,cu,1,90,a,0,2
93,sdbs,10,45,c,0,2
94,nacl,3,80,c,0,0
95,all,3,80,c,0,0
96,all,3,80,b,0,0
97,all,3,80,a,0,1
98,sdbs,1,90,b,0,1
99,all,11,40,c,0,2
100,cu,7,60,a,0,0
101,all,11,40,b,0,3
102,ctrl,5,70,a,0,0
103,sdbs,11,40,c,0,4
104,n,15,20,c,4,5
105,ctrl,6,65,a,0,0
106,mp,8,55,b,0,0
107,all,6,65,c,0,4
108,cu,15,20,b,4,6
109,n,11,40,a,0,2
110,n,6,65,c,0,1
111,nacl,12,35,a,0,1
112,nacl,2,85,c,0,0
113,n,6,65,b,0,2
114,cu,2,85,c,0,0
115,all,9,50,a,0,2
116,mp,13,30,a,0,4
117,n,11,40,b,0,1
118,cu,10,45,b,0,0
119,ctrl,11,40,b,0,2
120,mp,3,80,b,0,0
121,mp,5,70,b,0,1
122,cu,8,55,a,0,0
123,mp,5,70,a,0,0
124,ctrl,13,30,c,0,3
125,cu,11,40,b,0,3
126,sdbs,12,35,b,0,2
127,mp,14,25,c,4,5
128,sdbs,2,85,b,0,1
129,sdbs,6,65,b,0,0
130,cu,6,65,c,0,0
131,cu,9,50,b,0,0
132,mp,8,55,c,0,1
133,nacl,12,35,c,4,5
134,cu,11,40,a,0,0
135,ctrl,7,60,b,0,0
136,n,1,90,b,0,1
137,nacl,10,45,b,0,0
138,all,12,35,a,0,2
139,nacl,15,20,a,4,5
140,ctrl,12,35,b,0,3
141,all,13,30,c,4,4
142,mp,1,90,b,0,2
143,n,12,35,b,0,4
144,sdbs,14,25,b,0,4
145,n,6,65,a,0,1
146,sdbs,3,80,a,0,0
147,mp,2,85,c,0,0
148,cu,11,40,c,0,3
149,cu,6,65,b,0,0
150,mp,7,60,b,0,2
151,mp,15,20,c,4,6
152,ctrl,7,60,a,0,0
153,nacl,6,65,c,0,0
154,n,5,70,b,0,1
155,ctrl,7,60,c,0,0
156,sdbs,8,55,c,0,1
157,ctrl,9,50,a,0,1
158,n,15,20,a,4,6
159,sdbs,11,40,a,0,2
160,nacl,13,30,c,0,4
161,n,14,25,a,0,2
162,all,8,55,c,0,2
163,nacl,1,90,b,0,2
164,mp,7,60,c,0,2
165,n,5,70,c,0,0
166,cu,14,25,a,4,6
167,sdbs,5,70,b,0,0
168,mp,4,75,c,0,1
169,all,8,55,b,0,2
170,sdbs,12,35,a,4,4
171,n,15,20,b,4,5
172,mp,2,85,b,0,0
173,sdbs,6,65,c,0,0
174,mp,3,80,a,0,0
175,all,6,65,b,0,0
176,n,11,40,c,0,2
177,all,1,90,b,0,2
178,ctrl,3,80,a,0,0
179,ctrl,6,65,b,0,0
180,nacl,8,55,a,0,0
181,cu,14,25,b,8,5
182,mp,15,20,a,4,4
183,ctrl,6,65,c,0,0
184,n,8,55,a,0,0
185,n,9,50,c,0,1
186,all,8,55,a,0,2
187,n,8,55,c,0,1
188,all,12,35,c,0,4
189,ctrl,15,20,c,4,5
190,sdbs,10,45,b,0,2
191,mp,9,50,a,0,1
192,nacl,8,55,c,0,2
193,n,10,45,b,0,2
194,mp,13,30,b,4,5
195,mp,6,65,c,0,1
196,all,4,75,b,0,2
197,cu,13,30,c,0,3
198,nacl,3,80,a,0,0
199,ctrl,5,70,b,0,2
200,n,12,35,c,4,5
201,all,10,45,a,0,2
202,all,14,25,c,0,4
203,n,3,80,c,0,2
204,all,11,40,a,0,3
205,nacl,7,60,b,0,0
206,nacl,14,25,a,4,5
207,all,15,20,a,8,5
208,all,7,60,b,0,3
209,cu,4,75,a,0,0
210,mp,3,80,c,0,0
211,cu,8,55,c,0,2
212,ctrl,13,30,a,0,3
213,all,7,60,c,0,0
214,ctrl,4,75,a,0,0
215,n,10,45,c,0,3
216,nacl,8,55,b,0,0
217,mp,12,35,c,0,4
218,cu,5,70,b,0,0
219,ctrl,11,40,c,0,3
220,n,3,80,a,0,1
221,all,13,30,b,4,5
222,all,1,90,a,0,2
223,nacl,15,20,b,8,5
224,all,4,75,a,0,1
225,ctrl,10,45,a,4,4
226,cu,12,35,c,0,4
227,mp,5,70,c,0,0
228,ctrl,1,90,c,0,2
229,sdbs,14,25,a,4,4
230,ctrl,2,85,c,0,2
231,sdbs,10,45,a,0,1
232,nacl,10,45,c,0,1
233,mp,10,45,c,0,3
234,all,10,45,c,0,3
235,mp,4,75,a,4,5
236,mp,14,25,a,8,5
237,ctrl,12,35,c,0,0
238,mp,15,20,b,8,3
239,sdbs,7,60,c,0,0
240,sdbs,7,60,a,0,0
241,ctrl,8,55,a,0,0
242,cu,10,45,c,0,4
243,all,5,70,b,0,0
