"","potID","treatment","moistureL","whc","replicate","MWD","no_poll"
"1",1,"Surfactant",8,55,"a",1.020757785,"1"
"2",2,"Surfactant",12,35,"c",0.678911215,"1"
"3",3,"Surfactant",3,80,"b",1.103846014,"1"
"4",4,"µPlastic",9,50,"c",0.8276279461,"1"
"5",5,"µPlastic",7,60,"a",1.186751724,"1"
"6",6,"Salinity",11,40,"b",0.6850470383,"1"
"7",7,"Salinity",3,80,"b",1.134652015,"1"
"8",8,"Copper",3,80,"a",1.054707668,"1"
"9",9,"Ctrl",15,20,"b",0.6493088235,"0"
"10",10,"Copper",13,30,"b",0.5777794613,"1"
"11",11,"Surfactant",14,25,"c",0.6005017007,"1"
"12",12,"All_in",2,85,"a",0.9485663082,"5"
"13",13,"Surfactant",5,70,"a",1.07026259,"1"
"14",14,"Salinity",9,50,"c",0.8480162455,"1"
"15",15,"µPlastic",1,90,"c",0.8451660517,"1"
"16",16,"All_in",14,25,"a",0.6023047138,"5"
"17",17,"Copper",10,45,"a",0.688790378,"1"
"18",18,"Surfactant",1,90,"c",1.061671004,"1"
"19",19,"Copper",9,50,"c",0.8139616788,"1"
"20",20,"Ctrl",4,75,"b",0.3922974138,"0"
"21",21,"Nitrogen",14,25,"c",0.701505137,"1"
"22",22,"Salinity",14,25,"b",0.5278605442,"1"
"23",23,"Nitrogen",7,60,"a",0.9684395018,"1"
"24",24,"Nitrogen",4,75,"b",0.997130742,"1"
"25",25,"Copper",2,85,"a",1.059729927,"1"
"26",26,"Nitrogen",9,50,"b",1.073873288,"1"
"27",27,"Ctrl",3,80,"b",0.4726594828,"0"
"28",28,"Copper",7,60,"c",1.294066308,"1"
"29",29,"Surfactant",2,85,"c",1.181181818,"1"
"30",30,"Nitrogen",1,90,"a",1.222385932,"1"
"31",31,"Surfactant",4,75,"a",1.132474453,"1"
"32",32,"Copper",14,25,"c",0.5792382671,"1"
"33",33,"Salinity",13,30,"a",0.6049865772,"1"
"34",34,"Salinity",13,30,"b",0.5257534965,"1"
"35",35,"Surfactant",6,65,"a",1.405218638,"1"
"36",36,"µPlastic",11,40,"b",0.713005102,"1"
"37",37,"Nitrogen",14,25,"b",0.5950918728,"1"
"38",38,"Salinity",6,65,"b",1.440716606,"1"
"39",39,"All_in",6,65,"a",0.9876087719,"5"
"40",40,"Surfactant",1,90,"a",1.168724074,"1"
"41",41,"Ctrl",8,55,"c",0.6413669355,"0"
"42",42,"Salinity",4,75,"b",0.8984329502,"1"
"43",43,"Copper",13,30,"a",0.5990813149,"1"
"44",44,"All_in",13,30,"a",0.5925606061,"5"
"45",45,"Surfactant",8,55,"b",1.305494662,"1"
"46",46,"Nitrogen",5,70,"a",1.140577652,"1"
"47",47,"Surfactant",9,50,"b",0.7544784173,"1"
"48",48,"Salinity",11,40,"c",0.6440120275,"1"
"49",49,"Salinity",4,75,"a",0.8380584906,"1"
"50",50,"Salinity",11,40,"a",0.6871630824,"1"
"51",51,"Copper",4,75,"b",1.10375,"1"
"52",52,"µPlastic",8,55,"a",1.045517544,"1"
"53",53,"Surfactant",3,80,"c",1.078195652,"1"
"54",54,"Nitrogen",13,30,"a",0.631242268,"1"
"55",55,"Salinity",6,65,"a",1.602940959,"1"
"56",56,"µPlastic",6,65,"b",1.263314488,"1"
"57",57,"Surfactant",11,40,"b",0.7709589041,"1"
"58",58,"All_in",14,25,"b",0.5942397959,"5"
"59",59,"Copper",4,75,"c",1.086963235,"1"
"60",60,"Nitrogen",1,90,"c",1.140682156,"1"
"61",61,"Nitrogen",8,55,"b",1.120431507,"1"
"62",62,"Surfactant",13,30,"b",0.6068806228,"1"
"63",63,"All_in",7,60,"a",1.014127306,"5"
"64",64,"Ctrl",14,25,"c",0.6632706767,"0"
"65",65,"All_in",5,70,"a",1.04745614,"5"
"66",66,"All_in",9,50,"b",0.7763653846,"5"
"67",67,"Ctrl",5,70,"c",0.6302894737,"0"
"68",68,"Nitrogen",9,50,"a",0.816056338,"1"
"69",69,"Copper",6,65,"a",1.334539007,"1"
"70",70,"Salinity",1,90,"c",0.991243295,"1"
"71",71,"Surfactant",9,50,"a",0.7328706294,"1"
"72",72,"µPlastic",9,50,"b",0.9426388889,"1"
"73",73,"Salinity",9,50,"a",0.967164311,"1"
"74",74,"Surfactant",15,20,"a",0.5552576271,"1"
"75",75,"µPlastic",14,25,"b",0.8557308869,"1"
"76",76,"Salinity",5,70,"a",1.24678169,"1"
"77",77,"Ctrl",2,85,"b",0.5740517241,"0"
"78",78,"µPlastic",6,65,"a",0.9240214286,"1"
"79",79,"Salinity",10,45,"a",0.6012274306,"1"
"80",80,"Copper",5,70,"c",0.964323741,"1"
"81",81,"Copper",12,35,"a",0.6148976109,"1"
"82",82,"Surfactant",7,60,"b",0.9543618182,"1"
"83",83,"Salinity",7,60,"c",0.9615704225,"1"
"84",84,"Ctrl",15,20,"a",0.6184532374,"0"
"85",85,"Surfactant",13,30,"a",0.6212716263,"1"
"86",86,"Salinity",1,90,"a",0.9004048583,"1"
"87",87,"Salinity",5,70,"c",1.392480427,"1"
"88",88,"Ctrl",14,25,"b",0.5969923077,"0"
"89",89,"All_in",5,70,"c",0.7117885305,"5"
"90",90,"Copper",7,60,"b",0.9797003546,"1"
"91",91,"Surfactant",2,85,"a",0.9923210332,"1"
"92",92,"Copper",1,90,"a",1.08286194,"1"
"93",93,"Surfactant",10,45,"c",0.7134684015,"1"
"94",94,"Salinity",3,80,"c",1.142947471,"1"
"95",95,"All_in",3,80,"c",1.000918728,"5"
"96",96,"All_in",3,80,"b",1.042370787,"5"
"97",97,"All_in",3,80,"a",0.8325264151,"5"
"98",98,"Surfactant",1,90,"b",1.122051923,"1"
"99",99,"All_in",11,40,"c",0.640677193,"5"
"100",100,"Copper",7,60,"a",1.052125874,"1"
"101",101,"All_in",11,40,"b",0.7573139159,"5"
"102",102,"Ctrl",5,70,"a",0.5294634146,"0"
"103",103,"Surfactant",11,40,"c",0.6525897887,"1"
"104",104,"Nitrogen",15,20,"c",0.5580347222,"1"
"105",105,"Ctrl",6,65,"a",0.5313811475,"0"
"106",106,"µPlastic",8,55,"b",1.131501767,"1"
"107",107,"All_in",6,65,"c",1.29927957,"5"
"108",108,"Copper",15,20,"b",0.5781040956,"1"
"109",109,"Nitrogen",11,40,"a",0.6929270833,"1"
"110",110,"Nitrogen",6,65,"c",1.423813406,"1"
"111",111,"Salinity",12,35,"a",0.6923498294,"1"
"112",112,"Salinity",2,85,"c",1.033692308,"1"
"113",113,"Nitrogen",6,65,"b",1.618784173,"1"
"114",114,"Copper",2,85,"c",1.110535714,"1"
"115",115,"All_in",9,50,"a",0.976875,"5"
"116",116,"µPlastic",13,30,"a",0.5755699659,"1"
"117",117,"Nitrogen",11,40,"b",0.6271921708,"1"
"118",118,"Copper",10,45,"b",0.7081609589,"1"
"119",119,"Ctrl",11,40,"b",0.7259648438,"0"
"120",120,"µPlastic",3,80,"b",0.8592175439,"1"
"121",121,"µPlastic",5,70,"b",1.061515517,"1"
"122",122,"Copper",8,55,"a",0.995421147,"1"
"123",123,"µPlastic",5,70,"a",0.8806837456,"1"
"124",124,"Ctrl",13,30,"c",0.658527972,"0"
"125",125,"Copper",11,40,"b",0.6306701031,"1"
"126",126,"Surfactant",12,35,"b",0.6428881119,"1"
"127",127,"µPlastic",14,25,"c",0.5871797945,"1"
"128",128,"Surfactant",2,85,"b",0.9995660377,"1"
"129",129,"Surfactant",6,65,"b",1.391108696,"1"
"130",130,"Copper",6,65,"c",1.120442238,"1"
"131",131,"Copper",9,50,"b",0.8355214286,"1"
"132",132,"µPlastic",8,55,"c",1.204365497,"1"
"133",133,"Salinity",12,35,"c",0.6791708185,"1"
"134",134,"Copper",11,40,"a",0.6455195035,"1"
"135",135,"Ctrl",7,60,"b",0.8240894309,"0"
"136",136,"Nitrogen",1,90,"b",0.8728959108,"1"
"137",137,"Salinity",10,45,"b",0.7282152778,"1"
"138",138,"All_in",12,35,"a",0.6010904437,"5"
"139",139,"Salinity",15,20,"a",0.5826086207,"1"
"140",140,"Ctrl",12,35,"b",0.6010423077,"0"
"141",141,"All_in",13,30,"c",0.6442288136,"5"
"142",142,"µPlastic",1,90,"b",0.7601405109,"1"
"143",143,"Nitrogen",12,35,"b",0.6352037671,"1"
"144",144,"Surfactant",14,25,"b",0.6125140351,"1"
"145",145,"Nitrogen",6,65,"a",1.508876344,"1"
"146",146,"Surfactant",3,80,"a",1.042676786,"1"
"147",147,"µPlastic",2,85,"c",0.7311487455,"1"
"148",148,"Copper",11,40,"c",0.6513362676,"1"
"149",149,"Copper",6,65,"b",1.394327586,"1"
"150",150,"µPlastic",7,60,"b",0.9500232143,"1"
"151",151,"µPlastic",15,20,"c",0.5680459184,"1"
"152",152,"Ctrl",7,60,"a",0.8303162393,"0"
"153",153,"Salinity",6,65,"c",1.086632979,"1"
"154",154,"Nitrogen",5,70,"b",1.20787963,"1"
"155",155,"Ctrl",7,60,"c",0.8810787402,"0"
