"","potID","moistureL","whc","tr","cop_gS","log_cop_gS"
"1",15,1,90,"mp",12674925106.8526,23.2628914776766
"2",18,1,90,"sdbs",16271248272.9123,23.5126654776014
"3",30,1,90,"n",12054683238.1095,23.2127190718436
"4",40,1,90,"sdbs",11302994722.7347,23.1483335472642
"5",60,1,90,"n",16363856521.0088,23.5183408690094
"6",70,1,90,"nacl",11983668845.2424,23.2068106302656
"7",86,1,90,"nacl",10061378681.3813,23.031970038091
"8",92,1,90,"cu",16574466000.0406,23.5311291553072
"9",98,1,90,"sdbs",15646185585.1599,23.4734929916473
"10",136,1,90,"n",11809230384.8557,23.1921472986356
"11",142,1,90,"mp",13985247377.4661,23.3612688522152
"12",163,1,90,"nacl",17640455629.0617,23.5934607165034
"13",177,1,90,"all",12848107285.9131,23.2764623445139
"14",222,1,90,"all",18699951279.728,23.6517867554414
"15",228,1,90,"ctrl",13760365652.6772,23.3450582426943
"16",245,1,90,"all",14962135820.7095,23.4287885680663
"17",266,1,90,"cu",18220705856.4583,23.6258244687775
"18",286,1,90,"ctrl",15740707511.1796,23.4795160288098
"19",292,1,90,"ctrl",19357307971.5595,23.6863358580705
"20",301,1,90,"mp",15584851817.3435,23.4695652420899
"21",315,1,90,"cu",16530983801.2043,23.5285022631126
"22",12,2,85,"all",17093464330.0606,23.5619620244764
"23",25,2,85,"cu",10622401136.6418,23.0862309229334
"24",29,2,85,"sdbs",10286527911.5023,23.0541009062859
"25",77,2,85,"ctrl",12441637055.4985,23.2443145117006
"26",91,2,85,"sdbs",16991234574.5341,23.5559634347657
"27",112,2,85,"nacl",15895011981.0511,23.4892711850711
"28",114,2,85,"cu",21102909855.658,23.7726767757711
"29",128,2,85,"sdbs",16474681983.0503,23.5250906141472
"30",147,2,85,"mp",17733284569.8009,23.5987091947989
"31",172,2,85,"mp",11408598120.0611,23.1576331291231
"32",230,2,85,"ctrl",13379351351.9133,23.3169784115411
"33",252,2,85,"mp",14111833730.7133,23.3702795540208
"34",254,2,85,"all",17573331710.9603,23.5896483461524
"35",258,2,85,"n",15918237658.3284,23.4907313113812
"36",260,2,85,"all",15911376506.3826,23.490300193868
"37",275,2,85,"cu",14551316515.7326,23.4009473086516
"38",276,2,85,"n",14910591173.5286,23.4253376144024
"39",285,2,85,"nacl",16641634019.9001,23.5351734658296
"40",298,2,85,"ctrl",14643634544.2887,23.4072715758898
"41",304,2,85,"nacl",15539701561.8861,23.4666639771897
"42",308,2,85,"n",11529743206.2256,23.1681958991863
"43",3,3,80,"sdbs",10624406392.7197,23.0864196812757
"44",7,3,80,"nacl",11618267422.8179,23.1758444742255
"45",8,3,80,"cu",12142604927.9965,23.2199861735301
"46",27,3,80,"ctrl",15240560659.6027,23.4472261752161
"47",53,3,80,"sdbs",14780935142.1173,23.4166040212442
"48",94,3,80,"nacl",12991302627.4098,23.2875459418476
"49",95,3,80,"all",13856238772.3702,23.352001421035
"50",96,3,80,"all",14822308131.3929,23.419399189046
"51",97,3,80,"all",17336200279.4613,23.5760626539207
"52",120,3,80,"mp",14691949120.7306,23.4105655018384
"53",146,3,80,"sdbs",14883776358.4599,23.4235376216837
"54",174,3,80,"mp",11720005832.7029,23.1845631187661
"55",178,3,80,"ctrl",14084578813.9477,23.3683463346645
"56",198,3,80,"nacl",12449627660.1751,23.2449565525967
"57",203,3,80,"n",12932227043.5966,23.2829882533827
"58",210,3,80,"mp",16164415199.8249,23.5060780705331
"59",220,3,80,"n",12610538773.8691,23.2577987119319
"60",269,3,80,"ctrl",15505183427.5285,23.4644402196467
"61",288,3,80,"cu",11990551371.8168,23.2073847909016
"62",296,3,80,"n",21128166078.5314,23.7738728724997
"63",309,3,80,"cu",17536868598.9195,23.5875712788142
"64",20,4,75,"ctrl",10393844878.6329,23.0644796292952
"65",24,4,75,"n",12616300720.3827,23.2582555227516
"66",31,4,75,"sdbs",11022266838.2739,23.1231833217201
"67",42,4,75,"nacl",15024379175.7713,23.4329399970978
"68",49,4,75,"nacl",12004543438.4335,23.2085510349455
"69",51,4,75,"cu",13563561691.7016,23.330652746599
"70",59,4,75,"cu",11521450015.069,23.1674763536569
"71",168,4,75,"mp",11958304599.4618,23.2046918195227
"72",196,4,75,"all",16123627838.42,23.5035516007157
"73",209,4,75,"cu",16706571703.3068,23.5390679941304
"74",214,4,75,"ctrl",16662555652.0388,23.536429862403
"75",224,4,75,"all",17870226312.6203,23.6064018304259
"76",235,4,75,"mp",18243451183.2546,23.627072013303
"77",244,4,75,"sdbs",13888272036.4954,23.3543105825539
"78",246,4,75,"nacl",14588021565.1321,23.4034665881706
"79",265,4,75,"n",14661039743.6249,23.4084594547388
"80",272,4,75,"ctrl",14686494592.7501,23.4101941732482
"81",273,4,75,"all",19183237220.1092,23.6773026731874
"82",278,4,75,"n",12037796670.8585,23.2113172593211
"83",284,4,75,"sdbs",16793365946.8545,23.5442497612526
"84",316,4,75,"mp",18174570528.9582,23.6232892303183
"85",13,5,70,"sdbs",14274562929.9127,23.3817449741502
"86",46,5,70,"n",11956945197.2782,23.2045781345563
"87",65,5,70,"all",14721460738.3999,23.4125721802693
