potID,replicate,treatment,no_poll,dl,whc,mwd,wsa_b,wdpt,log_cop_gS
1,a,Surfactant,1,8,55,1.020757785,0.6129032258,1,23.4363665926856
2,c,Surfactant,1,12,35,0.678911215,0.5862068965999999,2,23.2978132116181
3,b,Surfactant,1,3,80,1.103846014,0.5,2,23.0863925444704
4,c,µPlastic,1,9,50,0.8276279461,0.4375,2,23.1688485515695
5,a,µPlastic,1,7,60,1.186751724,0.5483870968,2,23.4151200767538
6,b,Salinity,1,11,40,0.6850470383,0.5757575758,3,23.3404926918114
7,b,Salinity,1,3,80,1.134652015,0.5483870968,1e-16,23.1758178870099
8,a,Copper,1,3,80,1.054707668,0.40625,1e-16,23.2199598576678
9,b,Ctrl,0,15,20,0.6493088235,0.6410256409999999,4,23.4442270429863
10,b,Copper,1,13,30,0.5777794613,0.4117647059,3,23.5789507066653
11,c,Surfactant,1,14,25,0.6005017007,0.5806451613,4,23.5464431256091
12,a,All_in,5,2,85,0.9485663082,0.5161290323,1,23.5619378106458
13,a,Surfactant,1,5,70,1.07026259,0.5151515152,2,23.3817196525021
14,c,Salinity,1,9,50,0.8480162455,0.4117647059,1,23.5162905659309
15,c,µPlastic,1,1,90,0.8451660517,0.5294117647000001,1,23.2628654250724
16,a,All_in,5,14,25,0.6023047138,0.46875,5,23.6598271583093
17,a,Copper,1,10,45,0.688790378,0.5151515152,3,23.5496054021625
18,c,Surfactant,1,1,90,1.061671004,0.3870967742,4,23.5126409612291
19,c,Copper,1,9,50,0.8139616788,0.5666666667,2,23.4158463175696
20,b,Ctrl,0,4,75,0.3922974138,0.15625,1e-16,23.0644523579979
21,c,Nitrogen,1,14,25,0.701505137,0.6551724138,3,23.3896679079393
22,b,Salinity,1,14,25,0.5278605442,0.3428571429,4,23.4401394338911
23,a,Nitrogen,1,7,60,0.9684395018,0.5625,1,23.2816746754514
24,b,Nitrogen,1,4,75,0.997130742,0.4333333333,1,23.2582294425081
25,a,Copper,1,2,85,1.059729927,0.44444444439999997,1e-16,23.0862037847472
26,b,Nitrogen,1,9,50,1.073873288,0.5666666667,1e-16,23.3671113738491
27,b,Ctrl,0,3,80,0.4726594828,0.25,1e-16,23.4472012561952
28,c,Copper,1,7,60,1.294066308,0.5,1e-16,23.2316236506633
29,c,Surfactant,1,2,85,1.181181818,0.6129032258,1,23.0540735709062
30,a,Nitrogen,1,1,90,1.222385932,0.46875,2,23.2126927104701
31,a,Surfactant,1,4,75,1.132474453,0.44117647060000004,1e-16,23.1231564107967
32,c,Copper,1,14,25,0.5792382671,0.5625,4,23.5742641721504
33,a,Salinity,1,13,30,0.6049865772,0.4838709677,3,23.4888152457162
34,b,Salinity,1,13,30,0.5257534965,0.4375,5,23.4067255773915
35,a,Surfactant,1,6,65,1.405218638,0.46666666669999995,1e-16,23.4430860208287
36,b,µPlastic,1,11,40,0.713005102,0.5666666667,4,23.3319550600018
37,b,Nitrogen,1,14,25,0.5950918728,0.4545454545,4,23.6483947947658
38,b,Salinity,1,6,65,1.440716606,0.4375,1e-16,23.3698454908849
39,a,All_in,5,6,65,0.9876087719,0.8571428570999999,2,23.4276646456591
40,a,Surfactant,1,1,90,1.168724074,0.34375,2,23.148306791577
41,c,Ctrl,0,8,55,0.6413669355,0.53125,1e-16,23.5591694645192
42,b,Salinity,1,4,75,0.8984329502,0.6774193547999999,2,23.4329149909145
43,a,Copper,1,13,30,0.5990813149,0.28571428569999996,5,23.5047257276618
44,a,All_in,5,13,30,0.5925606061,0.33333333330000003,4,23.6503752173258
45,b,Surfactant,1,8,55,1.305494662,0.9032258065000001,1e-16,23.130847745545
46,a,Nitrogen,1,5,70,1.140577652,0.4838709677,1e-16,23.2045517244059
47,b,Surfactant,1,9,50,0.7544784173,0.5454545455,2,23.4997485259506
48,c,Salinity,1,11,40,0.6440120275,0.4545454545,3,23.4628413989101
