potID,treatment,moistureL,whc,replicate,WSA
1,sdbs,8,55,a,61.29032258
2,sdbs,12,35,c,58.62068966
3,sdbs,3,80,b,50
4,mp,9,50,c,43.75
5,mp,7,60,a,54.83870968
6,nacl,11,40,b,57.57575758
7,nacl,3,80,b,54.83870968
8,cu,3,80,a,40.625
9,ctrl,15,20,b,64.1025641
10,cu,13,30,b,41.17647059
11,sdbs,14,25,c,58.06451613
12,all,2,85,a,51.61290323
13,sdbs,5,70,a,51.51515152
14,nacl,9,50,c,41.17647059
15,mp,1,90,c,52.94117647
16,all,14,25,a,46.875
17,cu,10,45,a,51.51515152
18,sdbs,1,90,c,38.70967742
19,cu,9,50,c,56.66666667
20,ctrl,4,75,b,15.625
21,n,14,25,c,65.51724138
22,nacl,14,25,b,34.28571429
23,n,7,60,a,56.25
24,n,4,75,b,43.33333333
25,cu,2,85,a,44.44444444
26,n,9,50,b,56.66666667
27,ctrl,3,80,b,25
28,cu,7,60,c,50
29,sdbs,2,85,c,61.29032258
30,n,1,90,a,46.875
31,sdbs,4,75,a,44.11764706
32,cu,14,25,c,56.25
33,nacl,13,30,a,48.38709677
34,nacl,13,30,b,43.75
35,sdbs,6,65,a,46.66666667
36,mp,11,40,b,56.66666667
37,n,14,25,b,45.45454545
38,nacl,6,65,b,43.75
39,all,6,65,a,85.71428571
40,sdbs,1,90,a,34.375
41,ctrl,8,55,c,53.125
42,nacl,4,75,b,67.74193548
43,cu,13,30,a,28.57142857
44,all,13,30,a,33.33333333
45,sdbs,8,55,b,90.32258065
46,n,5,70,a,48.38709677
47,sdbs,9,50,b,54.54545455
48,nacl,11,40,c,45.45454545
49,nacl,4,75,a,53.33333333
50,nacl,11,40,a,51.51515152
51,cu,4,75,b,37.14285714
52,mp,8,55,a,90.32258065
53,sdbs,3,80,c,46.66666667
54,n,13,30,a,54.83870968
55,nacl,6,65,a,74.19354839
56,mp,6,65,b,93.5483871
57,sdbs,11,40,b,53.125
58,all,14,25,b,44.11764706
59,cu,4,75,c,42.42424242
60,n,1,90,c,59.375
61,n,8,55,b,61.29032258
62,sdbs,13,30,b,56.66666667
63,all,7,60,a,43.75
64,ctrl,14,25,c,45.16129032
65,all,5,70,a,54.83870968
66,all,9,50,b,50
67,ctrl,5,70,c,29.03225806
68,n,9,50,a,48.38709677
69,cu,6,65,a,53.125
70,nacl,1,90,c,46.875
71,sdbs,9,50,a,61.76470588
72,mp,9,50,b,54.83870968
73,nacl,9,50,a,54.83870968
74,sdbs,15,20,a,58.82352941
75,mp,14,25,b,41.17647059
76,nacl,5,70,a,68.75
77,ctrl,2,85,b,53.33333333
78,mp,6,65,a,54.54545455
79,nacl,10,45,a,40
80,cu,5,70,c,50
81,cu,12,35,a,48.38709677
82,sdbs,7,60,b,63.33333333
83,nacl,7,60,c,50
84,ctrl,15,20,a,35.48387097
85,sdbs,13,30,a,43.75
86,nacl,1,90,a,34.375
87,nacl,5,70,c,58.06451613
88,ctrl,14,25,b,50
89,all,5,70,c,58.62068966
90,cu,7,60,b,43.75
91,sdbs,2,85,a,73.33333333
92,cu,1,90,a,48.48484848
93,sdbs,10,45,c,62.06896552
94,nacl,3,80,c,58.06451613
95,all,3,80,c,48.48484848
96,all,3,80,b,48.38709677
97,all,3,80,a,60
98,sdbs,1,90,b,42.42424242
99,all,11,40,c,50
100,cu,7,60,a,53.125
101,all,11,40,b,57.14285714
102,ctrl,5,70,a,32.25806452
103,sdbs,11,40,c,39.39393939
104,n,15,20,c,29.41176471
105,ctrl,6,65,a,18.75
